permalink,name,totalFundingUSD,website,blog,description,shortDescription,foundedDate,minEmployees,maxEmployees,stockSymbol,changeInFunding,investor 0,investor 1,investor 2,investor 3,investor 4,investor 5,investor 6,investor 7,investor 8,investor 9,fundingRoundType,moneyRaisedUSD,dateAnnounced,fundingRoundType,moneyRaisedUSD,dateAnnounced,fundingRoundType,moneyRaisedUSD,dateAnnounced,fundingRoundType,moneyRaisedUSD,dateAnnounced
walnut-algorithms,Walnut Algorithms,16249,https://www.walnutalgorithms.com,,"Walnut Algorithms is one of the first research and development firms focused on applying the latest advances in data science and machine learning research to financial markets. We are a group of passionate data scientists developing algorithms to drive the technological disruption brought by the advent of A.I. in finance.

We combine machine learning techniques with financial expertise to deliver high-value consulting services to asset managers seeking to leverage big data in their decision making process. We build predictive models and decision-support tools to help managers improve market timing, asset allocation, and risk management.",Walnut Algorithms is an R&D and consulting firm applying the latest advances in data science and machine learning to financial markets.,2015-05-15,1,10,,15000,Startupbootcamp,,,,,,,,,,seed,15000,2015-07-19,,,,,,,,,
myfrenchstartup,myFrenchStartup,0,http://www.myfrenchstartup.com,,"MyFrenchStartup provides Governments, Corporates, Investors, Medias, Entrepreneurs,... with deep data to optimize Startups tracking, Due Diligence, DealFlow, Open Innovation.

MyFrenchStartup aims to become The Startups Benchmark Group by providing the Startups Ecosystem with Data Monitoring Tools and by delivering regular reports and surveys about startups investments and Innovation Market Intelligence:","The French Startups Analytic Database - Deals, Investors, Entrepreneurs, Markets,...",2012-12-13,0,0,,0,,,,,,,,,,,,,,,,,,,,,,
cegid,CEGID,0,http://www.cegid.com,,"Created in 1983, the Cegid group is the leading French developers of management software. Cegid is in the European Top 10, with more than 2,000 employees and241.1 million euros in annual sales.

Cegid&#39;s strategy is oriented around the following areas :

* Cegid&#39;s has recognized expertise in four sectors :
      o The Cegid Business ERP, covering all functional needs of large and medium-sized companies (Accounting â€“ Finance â€“ Taxes, Human Resources, Sales and Contract Management, Production Management, CRM, and more) and integrates operations (data management), company management (Business Intelligence), and a customized portal in the same &quot;package&quot; approach
      o Vertical solutions: The Cegid Business ERP is verticalized for Fashion, Retail, Wholesale, Industrial Manufacturing, Construction, Hotel-Restaurant, Sanitation, and more.
      o A unique offering in terms of finance and taxes including Cegid Etafi, the leading reference in financial report production with Etafi Conso and FCRS, as well as a complete line of Corporate Performance Management solutions (FCRS and Open Executive)
      o Payroll and human resources solutions for corporations and corporate groups with the RH Place product.
* Two segments of the market make up Cegid&#39;s natural area of operations : the VSB, SME and mid-sized company segment, and corporate accounts.
* Four strategic advantages enable Cegid to meet market demands :
      o An innovative technology platform : &quot;Web oriented&quot;, accomodating all operating systems and databases enabling it to integrate into customer operations, regardless of their technology
      o Proven expertise in terms of &quot;on demand&quot; products and IT webhosting
      o Strong experience in providing industry-specific vertical solutions, as well as meeting the everyday needs of users
      o A strategic partnership with Certified Public Accountants, guaranteeing Cegid&#39;s expertise in terms of managing and optimizing accounting firm performance, and synergy between business and CPAs.


Cegid has installations abroad, with offices in New York, Barcelona and Shenzhen, with distribution agreements in Italy, Germany, Switzerland, Morocco, Tunisia, Algeria...","Created in 1983, the Cegid group is the leading French developers of management software. Cegid is in the European Top 10, with more than",1983-01-01,1001,5000,,0,,,,,,,,,,,,,,,,,,,,,,
orange-digital-ventures,Orange Digital Ventures,0,http://www.orange.com/fr/innovation/une-innovation-ouverte/Orange-Digital-Ventures,,"Orange Digital Ventures is Orange’s early-stage corporate investment vehicle. It was created in 2015. It comprises a dedicated team of telecoms, digital and investment professionals.
Orange Digital Ventures is closely connected with all of the innovation in the Orange Group and especially relies on the international network of experts in innovation, from Orange Silicon Valley to various Orange Labs in France, Europe, Asia and Africa.",Fund For Early Stage Investments,2015-01-01,0,0,,0,,,,,,,,,,,,,,,,,,,,,,
quanthouse,QuantHouse,0,http://www.quanthouse.com,,"QuantHouse is a global provider of end-to-end systematic trading solutions, including ultra-low latency market data technologies, algo-trading development frameworks, proximity hosting and order routing services for hedge funds, market makers, proprietary desks and latency-sensitive sell-side firms.","QuantHouse is a global provider of end-to-end systematic trading solutions, including ultra-low latency market data technologies,",,0,0,,0,ViewPoint Capital Partners,,,,,,,,,,undisclosed,0,2011-04-01,,,,,,,,,
groupe-sfc,Groupe SFC,0,http://www.groupesfc.fr/,,"• A team of 200 employees including 18 associates, providing daily guidance to
more than 5000 clients
• 9 locations in France
• Our policy is geared towards quality and customer satisfaction
• Understanding of technology which guarantees the use of high-performance and
specialised solutions
• Experts to drive forward your performance, at all stages of your company’s life
• In 2012, turnover of close to €14.5m",Their policy is geared towards quality and customer satisfaction,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,
courtanet,Courtanet,3780000,http://www.courtanet.fr,,"Courtanet mission is to align the interests of clients, brokers and insurers.
Taking advantage of recent technological advances, the broker can now carry out market research objective for its customers. It is an undeniable step forward for the entire profession and this corresponds to the needs of customers more demanding. Transparency is a real tool valuation consulting and insurance.",Courtanet enables brokers to carry out market research objectives for their customers.,,0,0,,0,GroupM,Assor,,,,,,,,,venture,3780000,2009-12-01,,,,,,,,,
qunb,qunb,1140000,http://www.qunb.com,http://blog.qunb.com,"Qunb is an award winning data visualization startup with offices in Paris, France and Boston, Massachusetts. Qunb aims to make data visualization processes in particular, and business intelligence in general, quick and simple. The Qunb one-click data visualization tool generates comprehensive, shareable reports in seconds. Qunb technology is built around use-cases wherein Qunb assembles interactive reports of charts and graphs about business processes through software that businesses use daily e.g. Google Analytics and SalesForce.

Qunb&#39;s landmark service i.e. The Qunb Google Analytics service is the beginning of a revolution in data visualization and report writing wherein standard reports are not painstakingly written by analysts over long period, but instead are done for free within the click of a button, which stands to make companies more efficient and managers more informed in making decisions concerning their operations.",Qunb is a cloud-based internet service start-up providing data visualization services.,2011-05-10,1,10,,0,Techstars,,,,,,,,,,seed,640000,2012-03-22,seed,0,2013-02-25,angel,500000,2012-02-01,,,
moneytis,Moneytis,0,https://moneytis.com,,"Moneytis is the French fintech startup which makes you save on international money transfers.
It provides the cheapest money transfer solution, verified, and integrated inside the website.
Moneytis compares in real time the costs of big money transmitters, but also P2P growing actors and Blockchain networks solutions allowing advantageous money transfers.

We&#39;re based in France, Switzerland and Mexico. Our mission is to inform people and reduce money transfers cost.","the cheapest way to transfer money (traditionnals, P2P and Blockchain)",2015-03-23,1,10,,0,,,,,,,,,,,seed,0,2015-08-20,,,,,,,,,
4-traders,4-traders,0,http://www.4-traders.com/,,"4-traders is an international stock market and financial news website for active investors.

It provides financial news, investing tips, discussion forums, in-house technical and fundamental analysis, dynamics charts, an economic and financial calendar, state of the art decision making and financial tools. 4-traders obtains real-time information from Dow Jones, Reuters, Business Wire, and other feeds.

The site also provides in-depth information on currencies, indexes, stocks, futures, options, commodities, currencies, rates, and bonds.",4-traders is an international stock market and financial news website for active investors.,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,
